split,symbol,idx,date,kronos,v20,v60,v256,ewma,realised
train,INTC,824,2019-04-12 00:00:00+00:00,0.009097241467666158,0.011142503478049282,0.014662428098666523,0.018754945645111168,0.01434027895402316,0.027113730633568252
train,INTC,895,2019-07-25 00:00:00+00:00,0.008806492807891444,0.0125957195121222,0.01634804167156556,0.019673100219787347,0.015822054053383973,0.017151229786361993
train,INTC,966,2019-11-04 00:00:00+00:00,0.009309294177230535,0.020212887148310394,0.01808551923217287,0.01925202374796616,0.018785787541741823,0.008214451764814987
train,INTC,1037,2020-02-18 00:00:00+00:00,0.008466858734282748,0.02584590433815713,0.016880118860673306,0.016941752479098366,0.01874417578562197,0.0756566154036123
train,INTC,1108,2020-05-29 00:00:00+00:00,0.007273206101687711,0.022151684552404235,0.05515708366403863,0.030789298728251254,0.03865642766272792,0.019122047521953702
train,INTC,1179,2020-09-09 00:00:00+00:00,0.008283834630947978,0.01584615223144375,0.026673539236662124,0.03269547838962211,0.026776436671342514,0.013210478886531015
train,INTC,1250,2020-12-18 00:00:00+00:00,0.004578609680260122,0.01458373434681159,0.021146167843149596,0.03342828655882453,0.019638049513434216,0.02907833677401441
train,INTC,1321,2021-04-05 00:00:00+00:00,0.02012939751118643,0.023228359779285036,0.02821480373695213,0.025926000633559758,0.024992170995625434,0.02050484015672173
train,INTC,1392,2021-07-15 00:00:00+00:00,0.01780214638560561,0.012626261705761331,0.014197228032009065,0.023498440238638278,0.014457571807769841,0.016238235589634983
train,INTC,1463,2021-10-25 00:00:00+00:00,0.005388522869619283,0.030468972954304917,0.01901679358931156,0.021905634112563556,0.025845272961173574,0.010087090003754684
train,INTC,1534,2022-02-04 00:00:00+00:00,0.00349939630390272,0.022881253254760245,0.01799833639086352,0.018324027007316165,0.02074799407875442,0.023454390153793803
train,INTC,1605,2022-05-18 00:00:00+00:00,0.004782161477377518,0.028295820861636574,0.02453197342864756,0.019194140122743415,0.02505479935028032,0.023640877561380638
train,INTC,1676,2022-08-30 00:00:00+00:00,0.008592531284422738,0.02077521316971245,0.023728978980033684,0.02174489735204017,0.024023173817432738,0.020195222409950524
train,INTC,1747,2022-12-09 00:00:00+00:00,0.008196088306270694,0.026486573723484477,0.026951269706780447,0.023996373282048428,0.02622720975749035,0.020785792978861763
train,PFE,256,2017-01-09 00:00:00+00:00,0.0069174282446928595,0.009640369804722743,0.014475663103036945,0.011818999730316842,0.012347698140506782,0.008001520654687943
train,PFE,327,2017-04-21 00:00:00+00:00,0.00664973227922297,0.003918616927359166,0.005883029434861856,0.009995239111008596,0.006343023871265528,0.0050901621068115245
train,PFE,398,2017-08-02 00:00:00+00:00,0.004660439520944223,0.0051923832824265345,0.007351858886800448,0.00970695509124806,0.006382360643058312,0.006729000901349935
train,PFE,469,2017-11-10 00:00:00+00:00,0.004272904753530155,0.00655790681135912,0.00791435094389619,0.009069376662309288,0.00705562159297728,0.005514314368118208
train,PFE,540,2018-02-26 00:00:00+00:00,0.004215118363047931,0.022771374759424073,0.014218867274609517,0.009001158215962085,0.01551824486128005,0.012905551488900916
train,PFE,611,2018-06-07 00:00:00+00:00,0.004242901507336409,0.005603510946615375,0.010094633706446721,0.010125343735730187,0.00954674247624597,0.005405778377456402
train,PFE,682,2018-09-18 00:00:00+00:00,0.0033172809890532626,0.006736136182512955,0.008465674792211322,0.010233178715471103,0.008251863259534207,0.013423281783930263
train,PFE,753,2018-12-31 00:00:00+00:00,0.00705585249810553,0.01694533909063243,0.016320761246221168,0.012413854576733458,0.015797913854736584,0.01701736892446192
train,PFE,824,2019-04-12 00:00:00+00:00,0.01247709999525862,0.00756090121509889,0.011740838546057503,0.011700515071631869,0.01085933035139438,0.013641634864944326
train,PFE,895,2019-07-25 00:00:00+00:00,0.005428070627954879,0.01087981954947697,0.00897033145301257,0.012268033887864821,0.009570288663856782,0.019781867417644355
train,PFE,966,2019-11-04 00:00:00+00:00,0.002880514878792313,0.008273871218203811,0.01168923223001317,0.01299477875058484,0.011469231248819194,0.011428801410641252
train,PFE,1037,2020-02-18 00:00:00+00:00,0.003977423871933481,0.01507304724477405,0.01307241897140455,0.01210742679601496,0.013454249957509717,0.041861944269565604
train,PFE,1108,2020-05-29 00:00:00+00:00,0.007058345334904861,0.016147763692042332,0.03325917477513871,0.019853743109629413,0.023970789350296215,0.024799582641881878
train,PFE,1179,2020-09-09 00:00:00+00:00,0.016109019526472645,0.010297449242675501,0.014400150367437786,0.020832256047261504,0.015818809278585397,0.01118373511318798
train,PFE,1250,2020-12-18 00:00:00+00:00,0.00788665495984906,0.02129377513877859,0.02276987883296296,0.023142286754587512,0.023449166724195575,0.00989651645161283
train,PFE,1321,2021-04-05 00:00:00+00:00,0.005513047025671963,0.009245308586770076,0.009956888025913506,0.017955740900079446,0.011684332949575252,0.010281349798162552
train,PFE,1392,2021-07-15 00:00:00+00:00,0.0059315392994627025,0.008292847081793604,0.010034505005909421,0.014823812914369109,0.009551305445836012,0.01973458605125412
train,PFE,1463,2021-10-25 00:00:00+00:00,0.011191167374486543,0.010196400238173193,0.01594690557863267,0.015313438104418903,0.01256314126775266,0.0284566186248449
train,PFE,1534,2022-02-04 00:00:00+00:00,0.014451614692891081,0.01572877833140602,0.023428767382079305,0.01700208113253862,0.02163771774548097,0.01902371426687235
train,PFE,1605,2022-05-18 00:00:00+00:00,0.011200525603931429,0.015908894646590035,0.018729436614317124,0.01869192376721636,0.0177337571504031,0.018784520742947466
train,PFE,1676,2022-08-30 00:00:00+00:00,0.004563480356689317,0.015356063650606603,0.017009144428062933,0.01908801576132734,0.015728141914780155,0.015424049256952573
train,PFE,1747,2022-12-09 00:00:00+00:00,0.009201363147822496,0.013825370288432306,0.01544007126594059,0.018014312929774526,0.015601852807642941,0.01928838668379829
train,SOFI,256,2021-12-06 00:00:00+00:00,0.015707912021127923,0.04675393680494459,0.04612381337981468,0.05316120209031416,0.046411160524889056,0.041419974099991944
train,SOFI,288,2022-01-21 00:00:00+00:00,0.013903993752626687,0.054784234935538655,0.04954939814536588,0.04758038041532169,0.05184834419206601,0.05755185399581644
train,SOFI,320,2022-03-09 00:00:00+00:00,0.009560678574662229,0.05337012414319346,0.0533837927138135,0.04680750801473918,0.05416203811852397,0.05428678181041455
train,SOFI,352,2022-04-25 00:00:00+00:00,0.012513854901984837,0.04303026398888409,0.05299631736873042,0.04726534352751289,0.048386772136460476,0.06842704299946265
train,SOFI,384,2022-06-09 00:00:00+00:00,0.017965489091228082,0.057184142986944776,0.05427168176204673,0.049141141311777194,0.05525055677965977,0.04902307920542153
train,SOFI,416,2022-07-27 00:00:00+00:00,0.024042091071843744,0.04196914715129415,0.05385434129239761,0.04906881965991376,0.04743118565216401,0.07021614165207471
train,SOFI,448,2022-09-12 00:00:00+00:00,0.022575949179528033,0.040389397549531185,0.05179410090569023,0.051453164042084505,0.051449393804064665,0.04478896091526899
train,SOFI,480,2022-10-26 00:00:00+00:00,0.04058019835755431,0.04285099813511764,0.05323743793688372,0.051350322389894926,0.046160402104639904,0.05015882639764096
train,SOFI,512,2022-12-12 00:00:00+00:00,0.026559896240680225,0.0405587519232521,0.04195727600813388,0.050945983298181556,0.042432178374131074,0.03381288173135845
train,SOFI,544,2023-01-30 00:00:00+00:00,0.038000576380220114,0.030336735605039786,0.03908515696380757,0.04912891442484177,0.035512929961659855,0.04375953631859594
train,SOFI,576,2023-03-16 00:00:00+00:00,0.014645134931408276,0.03649314958445861,0.036958009817271334,0.04728437376463178,0.037806749011566027,0.028656211143625876
train,SOFI,608,2023-05-02 00:00:00+00:00,0.023487074793935688,0.03719265824018754,0.03435954486753523,0.045711912036261515,0.039072839782517126,0.049270814151397536
train,SOFI,640,2023-06-16 00:00:00+00:00,0.01970687422088585,0.04617117398238848,0.044777960610537744,0.044328697137161525,0.047333735048729585,0.039440918380748334
train,SOFI,672,2023-08-03 00:00:00+00:00,0.022969956170554563,0.05639863152513709,0.050025455862316624,0.045344086987124166,0.05342645471177489,0.02494397015609484
train,SOFI,704,2023-09-19 00:00:00+00:00,0.024718208239122883,0.02413276157337093,0.03863377281609061,0.041303919606104716,0.03686002941080307,0.033138078441904764
train,SOFI,736,2023-11-02 00:00:00+00:00,0.03283749958377688,0.03350417300023534,0.029394154498069872,0.04014056050721694,0.03525809506221828,0.04160866704483335
train,SOFI,768,2023-12-19 00:00:00+00:00,0.013679969528023705,0.03494123636357357,0.038330994473764375,0.03993222929312238,0.03990494314532276,0.04364293128249729
train,SOFI,800,2024-02-06 00:00:00+00:00,0.012956178843458484,0.05563944241438619,0.0486379344027662,0.042285062089168546,0.052185178479954665,0.0509037298266263
train,SOFI,832,2024-03-22 00:00:00+00:00,0.01950896614131592,0.049186409454925764,0.049260259985339255,0.04314995647136536,0.046481941022939656,0.02609414560649928
train,SOFI,864,2024-05-08 00:00:00+00:00,0.009322147054752363,0.03486086436332649,0.03815874976298726,0.042236728857744286,0.03818085819813924,0.020229254053294527
train,SOFI,896,2024-06-25 00:00:00+00:00,0.0077709546164936635,0.020575100989717543,0.027242176049981436,0.03863297344746759,0.02812983705819588,0.024432747693059413
train,SOFI,928,2024-08-09 00:00:00+00:00,0.008149100332789887,0.0352037794035578,0.026196006885338897,0.036386616376177676,0.030373750201767264,0.03417449411951946
train,T,256,2017-01-09 00:00:00+00:00,0.005024089777649163,0.010169041096088216,0.011350920845524566,0.009527685044721802,0.01146470717200589,0.009128716019420764
train,T,327,2017-04-21 00:00:00+00:00,0.0063484856552311585,0.00609890031703207,0.006928402808555813,0.009168789541621309,0.007225166620401153,0.009730972447504498
train,T,398,2017-08-02 00:00:00+00:00,0.0018331672770322677,0.01639531915279644,0.010974052865233447,0.009990399558478026,0.013092658946653337,0.007409739893330773
train,T,469,2017-11-10 00:00:00+00:00,0.0028585109535006433,0.01282869536712187,0.013813775170347427,0.01083144669176827,0.014265898099053188,0.013081441292757472
train,T,540,2018-02-26 00:00:00+00:00,0.0068638908155615845,0.019149278838047352,0.015412045887590594,0.012075152744830418,0.015541138253139738,0.010627247548695238
train,T,611,2018-06-07 00:00:00+00:00,0.002913727751206722,0.009785489571254533,0.012688908381866528,0.013161777021838567,0.012631273320305702,0.0186290582011145
train,T,682,2018-09-18 00:00:00+00:00,0.0021564495385910524,0.009442481486735311,0.012023905822017527,0.014071068110035867,0.011932017940096644,0.011963093488509926
train,T,753,2018-12-31 00:00:00+00:00,0.0035247179207393594,0.017790731267338218,0.01860312800047429,0.01493336397231837,0.01743184471300768,0.015176258765735928
train,T,824,2019-04-12 00:00:00+00:00,0.006679734965653103,0.010999573217044138,0.011408342776549287,0.014793548894000724,0.012154832137992438,0.011213266891895751
train,T,895,2019-07-25 00:00:00+00:00,0.005994218677667656,0.012875147865109095,0.01102605496431568,0.013995919937098547,0.012248777994596541,0.01125124693383911
train,T,966,2019-11-04 00:00:00+00:00,0.0062679300844320305,0.013659416582083037,0.012068452400865036,0.012790946680185825,0.01277121556591098,0.012400586464735885
train,T,1037,2020-02-18 00:00:00+00:00,0.0075428049602644836,0.013190190713469788,0.01092676382731118,0.011107349374469973,0.010893732750612511,0.045335356391369444
train,T,1108,2020-05-29 00:00:00+00:00,0.005459837264811024,0.023078955177933222,0.039235260857534385,0.021794714832546403,0.029789494101991058,0.019762271014409995
train,T,1179,2020-09-09 00:00:00+00:00,0.00437810492989104,0.005631742651517958,0.01053634236006377,0.02209312785617568,0.012820586304168173,0.00819171518235532
train,T,1250,2020-12-18 00:00:00+00:00,0.007557067093374009,0.015386232387659023,0.01465407652520447,0.022387226052601936,0.015057020321712009,0.013571322716907211
train,T,1321,2021-04-05 00:00:00+00:00,0.0030944685914019634,0.009766976177084507,0.01162534638916319,0.01595945930575102,0.011232643922713743,0.013372124555587936
